Year,Location,Sex or gender,Age at divorce,Indicator,Unit Of Measure,VALUE
1970,Ontario,Both sexes,All ages,Number of divorces,Number,24012.0
1970,Ontario,Both sexes,Under 20 years,Number of divorces,Number,42.0
1970,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,1698.0
1970,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,4242.0
1970,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,4194.0
1970,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,3696.0
1970,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3336.0
1970,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,2787.0
1970,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,1800.0
1970,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1137.0
1970,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,639.0
1970,Ontario,Both sexes,65 years and over,Number of divorces,Number,441.0
1970,Ontario,Males,All ages,Number of divorces,Number,12006.0
1970,Ontario,Males,Under 20 years,Number of divorces,Number,3.0
1970,Ontario,Males,20 to 24 years,Number of divorces,Number,459.0
1970,Ontario,Males,25 to 29 years,Number of divorces,Number,1878.0
1970,Ontario,Males,30 to 34 years,Number of divorces,Number,2136.0
1970,Ontario,Males,35 to 39 years,Number of divorces,Number,1950.0
1970,Ontario,Males,40 to 44 years,Number of divorces,Number,1692.0
1970,Ontario,Males,45 to 49 years,Number of divorces,Number,1524.0
1970,Ontario,Males,50 to 54 years,Number of divorces,Number,993.0
1970,Ontario,Males,55 to 59 years,Number of divorces,Number,669.0
1970,Ontario,Males,60 to 64 years,Number of divorces,Number,402.0
1970,Ontario,Males,65 years and over,Number of divorces,Number,300.0
1970,Ontario,Females,All ages,Number of divorces,Number,12006.0
1970,Ontario,Females,Under 20 years,Number of divorces,Number,39.0
1970,Ontario,Females,20 to 24 years,Number of divorces,Number,1239.0
1970,Ontario,Females,25 to 29 years,Number of divorces,Number,2364.0
1970,Ontario,Females,30 to 34 years,Number of divorces,Number,2058.0
1970,Ontario,Females,35 to 39 years,Number of divorces,Number,1746.0
1970,Ontario,Females,40 to 44 years,Number of divorces,Number,1644.0
1970,Ontario,Females,45 to 49 years,Number of divorces,Number,1260.0
1970,Ontario,Females,50 to 54 years,Number of divorces,Number,807.0
1970,Ontario,Females,55 to 59 years,Number of divorces,Number,468.0
1970,Ontario,Females,60 to 64 years,Number of divorces,Number,240.0
1970,Ontario,Females,65 years and over,Number of divorces,Number,141.0
1971,Ontario,Both sexes,All ages,Number of divorces,Number,24609.0
1971,Ontario,Both sexes,Under 20 years,Number of divorces,Number,63.0
1971,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2265.0
1971,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,4824.0
1971,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,4314.0
1971,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,3582.0
1971,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3279.0
1971,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,2616.0
1971,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,1662.0
1971,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1044.0
1971,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,561.0
1971,Ontario,Both sexes,65 years and over,Number of divorces,Number,399.0
1971,Ontario,Males,All ages,Number of divorces,Number,12306.0
1971,Ontario,Males,Under 20 years,Number of divorces,Number,6.0
1971,Ontario,Males,20 to 24 years,Number of divorces,Number,678.0
1971,Ontario,Males,25 to 29 years,Number of divorces,Number,2235.0
1971,Ontario,Males,30 to 34 years,Number of divorces,Number,2238.0
1971,Ontario,Males,35 to 39 years,Number of divorces,Number,1854.0
1971,Ontario,Males,40 to 44 years,Number of divorces,Number,1746.0
1971,Ontario,Males,45 to 49 years,Number of divorces,Number,1377.0
1971,Ontario,Males,50 to 54 years,Number of divorces,Number,930.0
1971,Ontario,Males,55 to 59 years,Number of divorces,Number,621.0
1971,Ontario,Males,60 to 64 years,Number of divorces,Number,363.0
1971,Ontario,Males,65 years and over,Number of divorces,Number,258.0
1971,Ontario,Females,All ages,Number of divorces,Number,12303.0
1971,Ontario,Females,Under 20 years,Number of divorces,Number,57.0
1971,Ontario,Females,20 to 24 years,Number of divorces,Number,1587.0
1971,Ontario,Females,25 to 29 years,Number of divorces,Number,2589.0
1971,Ontario,Females,30 to 34 years,Number of divorces,Number,2076.0
1971,Ontario,Females,35 to 39 years,Number of divorces,Number,1728.0
1971,Ontario,Females,40 to 44 years,Number of divorces,Number,1533.0
1971,Ontario,Females,45 to 49 years,Number of divorces,Number,1239.0
1971,Ontario,Females,50 to 54 years,Number of divorces,Number,732.0
1971,Ontario,Females,55 to 59 years,Number of divorces,Number,423.0
1971,Ontario,Females,60 to 64 years,Number of divorces,Number,198.0
1971,Ontario,Females,65 years and over,Number of divorces,Number,141.0
1972,Ontario,Both sexes,All ages,Number of divorces,Number,26496.0
1972,Ontario,Both sexes,Under 20 years,Number of divorces,Number,75.0
1972,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2436.0
1972,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,5886.0
1972,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,4707.0
1972,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,3705.0
1972,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3276.0
1972,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,2679.0
1972,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,1797.0
1972,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1023.0
1972,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,534.0
1972,Ontario,Both sexes,65 years and over,Number of divorces,Number,378.0
1972,Ontario,Males,All ages,Number of divorces,Number,13248.0
1972,Ontario,Males,Under 20 years,Number of divorces,Number,9.0
1972,Ontario,Males,20 to 24 years,Number of divorces,Number,732.0
1972,Ontario,Males,25 to 29 years,Number of divorces,Number,2691.0
1972,Ontario,Males,30 to 34 years,Number of divorces,Number,2499.0
1972,Ontario,Males,35 to 39 years,Number of divorces,Number,1950.0
1972,Ontario,Males,40 to 44 years,Number of divorces,Number,1773.0
1972,Ontario,Males,45 to 49 years,Number of divorces,Number,1365.0
1972,Ontario,Males,50 to 54 years,Number of divorces,Number,1026.0
1972,Ontario,Males,55 to 59 years,Number of divorces,Number,597.0
1972,Ontario,Males,60 to 64 years,Number of divorces,Number,348.0
1972,Ontario,Males,65 years and over,Number of divorces,Number,258.0
1972,Ontario,Females,All ages,Number of divorces,Number,13248.0
1972,Ontario,Females,Under 20 years,Number of divorces,Number,66.0
1972,Ontario,Females,20 to 24 years,Number of divorces,Number,1704.0
1972,Ontario,Females,25 to 29 years,Number of divorces,Number,3195.0
1972,Ontario,Females,30 to 34 years,Number of divorces,Number,2208.0
1972,Ontario,Females,35 to 39 years,Number of divorces,Number,1755.0
1972,Ontario,Females,40 to 44 years,Number of divorces,Number,1503.0
1972,Ontario,Females,45 to 49 years,Number of divorces,Number,1314.0
1972,Ontario,Females,50 to 54 years,Number of divorces,Number,771.0
1972,Ontario,Females,55 to 59 years,Number of divorces,Number,426.0
1972,Ontario,Females,60 to 64 years,Number of divorces,Number,186.0
1972,Ontario,Females,65 years and over,Number of divorces,Number,120.0
1973,Ontario,Both sexes,All ages,Number of divorces,Number,27714.0
1973,Ontario,Both sexes,Under 20 years,Number of divorces,Number,75.0
1973,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2559.0
1973,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,6507.0
1973,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,5073.0
1973,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,3705.0
1973,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3249.0
1973,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,2652.0
1973,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,1869.0
1973,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1116.0
1973,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,531.0
1973,Ontario,Both sexes,65 years and over,Number of divorces,Number,378.0
1973,Ontario,Males,All ages,Number of divorces,Number,13857.0
1973,Ontario,Males,Under 20 years,Number of divorces,Number,6.0
1973,Ontario,Males,20 to 24 years,Number of divorces,Number,777.0
1973,Ontario,Males,25 to 29 years,Number of divorces,Number,2973.0
1973,Ontario,Males,30 to 34 years,Number of divorces,Number,2685.0
1973,Ontario,Males,35 to 39 years,Number of divorces,Number,1998.0
1973,Ontario,Males,40 to 44 years,Number of divorces,Number,1740.0
1973,Ontario,Males,45 to 49 years,Number of divorces,Number,1404.0
1973,Ontario,Males,50 to 54 years,Number of divorces,Number,1002.0
1973,Ontario,Males,55 to 59 years,Number of divorces,Number,681.0
1973,Ontario,Males,60 to 64 years,Number of divorces,Number,342.0
1973,Ontario,Males,65 years and over,Number of divorces,Number,249.0
1973,Ontario,Females,All ages,Number of divorces,Number,13857.0
1973,Ontario,Females,Under 20 years,Number of divorces,Number,69.0
1973,Ontario,Females,20 to 24 years,Number of divorces,Number,1782.0
1973,Ontario,Females,25 to 29 years,Number of divorces,Number,3534.0
1973,Ontario,Females,30 to 34 years,Number of divorces,Number,2388.0
1973,Ontario,Females,35 to 39 years,Number of divorces,Number,1707.0
1973,Ontario,Females,40 to 44 years,Number of divorces,Number,1509.0
1973,Ontario,Females,45 to 49 years,Number of divorces,Number,1248.0
1973,Ontario,Females,50 to 54 years,Number of divorces,Number,867.0
1973,Ontario,Females,55 to 59 years,Number of divorces,Number,435.0
1973,Ontario,Females,60 to 64 years,Number of divorces,Number,189.0
1973,Ontario,Females,65 years and over,Number of divorces,Number,129.0
1974,Ontario,Both sexes,All ages,Number of divorces,Number,30768.0
1974,Ontario,Both sexes,Under 20 years,Number of divorces,Number,78.0
1974,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2940.0
1974,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,7377.0
1974,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,5673.0
1974,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,4248.0
1974,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3534.0
1974,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,2904.0
1974,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2016.0
1974,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,957.0
1974,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,582.0
1974,Ontario,Both sexes,65 years and over,Number of divorces,Number,459.0
1974,Ontario,Males,All ages,Number of divorces,Number,15384.0
1974,Ontario,Males,Under 20 years,Number of divorces,Number,0.0
1974,Ontario,Males,20 to 24 years,Number of divorces,Number,882.0
1974,Ontario,Males,25 to 29 years,Number of divorces,Number,3459.0
1974,Ontario,Males,30 to 34 years,Number of divorces,Number,3003.0
1974,Ontario,Males,35 to 39 years,Number of divorces,Number,2259.0
1974,Ontario,Males,40 to 44 years,Number of divorces,Number,1869.0
1974,Ontario,Males,45 to 49 years,Number of divorces,Number,1545.0
1974,Ontario,Males,50 to 54 years,Number of divorces,Number,1122.0
1974,Ontario,Males,55 to 59 years,Number of divorces,Number,582.0
1974,Ontario,Males,60 to 64 years,Number of divorces,Number,360.0
1974,Ontario,Males,65 years and over,Number of divorces,Number,303.0
1974,Ontario,Females,All ages,Number of divorces,Number,15384.0
1974,Ontario,Females,Under 20 years,Number of divorces,Number,78.0
1974,Ontario,Females,20 to 24 years,Number of divorces,Number,2058.0
1974,Ontario,Females,25 to 29 years,Number of divorces,Number,3918.0
1974,Ontario,Females,30 to 34 years,Number of divorces,Number,2670.0
1974,Ontario,Females,35 to 39 years,Number of divorces,Number,1989.0
1974,Ontario,Females,40 to 44 years,Number of divorces,Number,1665.0
1974,Ontario,Females,45 to 49 years,Number of divorces,Number,1359.0
1974,Ontario,Females,50 to 54 years,Number of divorces,Number,894.0
1974,Ontario,Females,55 to 59 years,Number of divorces,Number,375.0
1974,Ontario,Females,60 to 64 years,Number of divorces,Number,222.0
1974,Ontario,Females,65 years and over,Number of divorces,Number,156.0
1975,Ontario,Both sexes,All ages,Number of divorces,Number,35148.0
1975,Ontario,Both sexes,Under 20 years,Number of divorces,Number,108.0
1975,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3282.0
1975,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,8796.0
1975,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,6882.0
1975,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,4887.0
1975,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3783.0
1975,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3090.0
1975,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2106.0
1975,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1149.0
1975,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,630.0
1975,Ontario,Both sexes,65 years and over,Number of divorces,Number,432.0
1975,Ontario,Males,All ages,Number of divorces,Number,17574.0
1975,Ontario,Males,Under 20 years,Number of divorces,Number,21.0
1975,Ontario,Males,20 to 24 years,Number of divorces,Number,966.0
1975,Ontario,Males,25 to 29 years,Number of divorces,Number,4065.0
1975,Ontario,Males,30 to 34 years,Number of divorces,Number,3639.0
1975,Ontario,Males,35 to 39 years,Number of divorces,Number,2637.0
1975,Ontario,Males,40 to 44 years,Number of divorces,Number,2052.0
1975,Ontario,Males,45 to 49 years,Number of divorces,Number,1680.0
1975,Ontario,Males,50 to 54 years,Number of divorces,Number,1152.0
1975,Ontario,Males,55 to 59 years,Number of divorces,Number,666.0
1975,Ontario,Males,60 to 64 years,Number of divorces,Number,411.0
1975,Ontario,Males,65 years and over,Number of divorces,Number,285.0
1975,Ontario,Females,All ages,Number of divorces,Number,17574.0
1975,Ontario,Females,Under 20 years,Number of divorces,Number,87.0
1975,Ontario,Females,20 to 24 years,Number of divorces,Number,2316.0
1975,Ontario,Females,25 to 29 years,Number of divorces,Number,4731.0
1975,Ontario,Females,30 to 34 years,Number of divorces,Number,3243.0
1975,Ontario,Females,35 to 39 years,Number of divorces,Number,2250.0
1975,Ontario,Females,40 to 44 years,Number of divorces,Number,1734.0
1975,Ontario,Females,45 to 49 years,Number of divorces,Number,1410.0
1975,Ontario,Females,50 to 54 years,Number of divorces,Number,954.0
1975,Ontario,Females,55 to 59 years,Number of divorces,Number,483.0
1975,Ontario,Females,60 to 64 years,Number of divorces,Number,219.0
1975,Ontario,Females,65 years and over,Number of divorces,Number,147.0
1976,Ontario,Both sexes,All ages,Number of divorces,Number,37311.0
1976,Ontario,Both sexes,Under 20 years,Number of divorces,Number,126.0
1976,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3459.0
1976,Ontario,Both sexes,25 to 29 years,Number of divorces,Number,9147.0
1976,Ontario,Both sexes,30 to 34 years,Number of divorces,Number,7536.0
1976,Ontario,Both sexes,35 to 39 years,Number of divorces,Number,5199.0
1976,Ontario,Both sexes,40 to 44 years,Number of divorces,Number,4074.0
1976,Ontario,Both sexes,45 to 49 years,Number of divorces,Number,3132.0
1976,Ontario,Both sexes,50 to 54 years,Number of divorces,Number,2280.0
1976,Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1206.0
1976,Ontario,Both sexes,60 to 64 years,Number of divorces,Number,639.0
1976,Ontario,Both sexes,65 years and over,Number of divorces,Number,513.0
1976,Ontario,Males,All ages,Number of divorces,Number,18657.0
1976,Ontario,Males,Under 20 years,Number of divorces,Number,12.0
1976,Ontario,Males,20 to 24 years,Number of divorces,Number,1092.0
1976,Ontario,Males,25 to 29 years,Number of divorces,Number,4197.0
1976,Ontario,Males,30 to 34 years,Number of divorces,Number,3954.0
1976,Ontario,Males,35 to 39 years,Number of divorces,Number,2751.0
1976,Ontario,Males,40 to 44 years,Number of divorces,Number,2223.0
1976,Ontario,Males,45 to 49 years,Number of divorces,Number,1728.0
1976,Ontario,Males,50 to 54 years,Number of divorces,Number,1272.0
1976,Ontario,Males,55 to 59 years,Number of divorces,Number,690.0
1976,Ontario,Males,60 to 64 years,Number of divorces,Number,405.0
1976,Ontario,Males,65 years and over,Number of divorces,Number,333.0
1976,Ontario,Females,All ages,Number of divorces,Number,18654.0
1976,Ontario,Females,Under 20 years,Number of divorces,Number,114.0
1976,Ontario,Females,20 to 24 years,Number of divorces,Number,2367.0
1976,Ontario,Females,25 to 29 years,Number of divorces,Number,4950.0
1976,Ontario,Females,30 to 34 years,Number of divorces,Number,3582.0
1976,Ontario,Females,35 to 39 years,Number of divorces,Number,2448.0
1976,Ontario,Females,40 to 44 years,Number of divorces,Number,1851.0
1976,Ontario,Females,45 to 49 years,Number of divorces,Number,1404.0
1976,Ontario,Females,50 to 54 years,Number of divorces,Number,1008.0
1976,Ontario,Females,55 to 59 years,Number of divorces,Number,516.0
1976,Ontario,Females,60 to 64 years,Number of divorces,Number,234.0
1976,Ontario,Females,65 years and over,Number of divorces,Number,180.0
1977,Ontario,Both sexes,All ages,Number of divorces,Number,39618.0
1977,Ontario,Both sexes,Under 20 years,Number of divorces,Number,117.0
1977,Ontario,Both sexes,20 to 24 years,Number of divorces,Number,3738.0
