Location,Sex or gender,Age at divorce,Indicator,Unit Of Measure,VALUE
Ontario,Both sexes,All ages,Number of divorces,Number,24012.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,42.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,1698.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,4242.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,4194.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,3696.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3336.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,2787.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,1800.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1137.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,639.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,441.0
Ontario,Males,All ages,Number of divorces,Number,12006.0
Ontario,Males,Under 20 years,Number of divorces,Number,3.0
Ontario,Males,20 to 24 years,Number of divorces,Number,459.0
Ontario,Males,25 to 29 years,Number of divorces,Number,1878.0
Ontario,Males,30 to 34 years,Number of divorces,Number,2136.0
Ontario,Males,35 to 39 years,Number of divorces,Number,1950.0
Ontario,Males,40 to 44 years,Number of divorces,Number,1692.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1524.0
Ontario,Males,50 to 54 years,Number of divorces,Number,993.0
Ontario,Males,55 to 59 years,Number of divorces,Number,669.0
Ontario,Males,60 to 64 years,Number of divorces,Number,402.0
Ontario,Males,65 years and over,Number of divorces,Number,300.0
Ontario,Females,All ages,Number of divorces,Number,12006.0
Ontario,Females,Under 20 years,Number of divorces,Number,39.0
Ontario,Females,20 to 24 years,Number of divorces,Number,1239.0
Ontario,Females,25 to 29 years,Number of divorces,Number,2364.0
Ontario,Females,30 to 34 years,Number of divorces,Number,2058.0
Ontario,Females,35 to 39 years,Number of divorces,Number,1746.0
Ontario,Females,40 to 44 years,Number of divorces,Number,1644.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1260.0
Ontario,Females,50 to 54 years,Number of divorces,Number,807.0
Ontario,Females,55 to 59 years,Number of divorces,Number,468.0
Ontario,Females,60 to 64 years,Number of divorces,Number,240.0
Ontario,Females,65 years and over,Number of divorces,Number,141.0
Ontario,Both sexes,All ages,Number of divorces,Number,24609.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,63.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2265.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,4824.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,4314.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,3582.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3279.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,2616.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,1662.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1044.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,561.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,399.0
Ontario,Males,All ages,Number of divorces,Number,12306.0
Ontario,Males,Under 20 years,Number of divorces,Number,6.0
Ontario,Males,20 to 24 years,Number of divorces,Number,678.0
Ontario,Males,25 to 29 years,Number of divorces,Number,2235.0
Ontario,Males,30 to 34 years,Number of divorces,Number,2238.0
Ontario,Males,35 to 39 years,Number of divorces,Number,1854.0
Ontario,Males,40 to 44 years,Number of divorces,Number,1746.0
Ontario,Males,45 to 49 years,Number of divorces,Number,1377.0
Ontario,Males,50 to 54 years,Number of divorces,Number,930.0
Ontario,Males,55 to 59 years,Number of divorces,Number,621.0
Ontario,Males,60 to 64 years,Number of divorces,Number,363.0
Ontario,Males,65 years and over,Number of divorces,Number,258.0
Ontario,Females,All ages,Number of divorces,Number,12303.0
Ontario,Females,Under 20 years,Number of divorces,Number,57.0
Ontario,Females,20 to 24 years,Number of divorces,Number,1587.0
Ontario,Females,25 to 29 years,Number of divorces,Number,2589.0
Ontario,Females,30 to 34 years,Number of divorces,Number,2076.0
Ontario,Females,35 to 39 years,Number of divorces,Number,1728.0
Ontario,Females,40 to 44 years,Number of divorces,Number,1533.0
Ontario,Females,45 to 49 years,Number of divorces,Number,1239.0
Ontario,Females,50 to 54 years,Number of divorces,Number,732.0
Ontario,Females,55 to 59 years,Number of divorces,Number,423.0
Ontario,Females,60 to 64 years,Number of divorces,Number,198.0
Ontario,Females,65 years and over,Number of divorces,Number,141.0
Ontario,Both sexes,All ages,Number of divorces,Number,26496.0
Ontario,Both sexes,Under 20 years,Number of divorces,Number,75.0
Ontario,Both sexes,20 to 24 years,Number of divorces,Number,2436.0
Ontario,Both sexes,25 to 29 years,Number of divorces,Number,5886.0
Ontario,Both sexes,30 to 34 years,Number of divorces,Number,4707.0
Ontario,Both sexes,35 to 39 years,Number of divorces,Number,3705.0
Ontario,Both sexes,40 to 44 years,Number of divorces,Number,3276.0
Ontario,Both sexes,45 to 49 years,Number of divorces,Number,2679.0
Ontario,Both sexes,50 to 54 years,Number of divorces,Number,1797.0
Ontario,Both sexes,55 to 59 years,Number of divorces,Number,1023.0
Ontario,Both sexes,60 to 64 years,Number of divorces,Number,534.0
Ontario,Both sexes,65 years and over,Number of divorces,Number,378.0
